CO,PM2.5,PM10,TSP,Slope,Air volume,Distance
30,0.94,0.96,1.01,0,0.9,10
29.7,0.94,0.96,1.01,0,0.9,10
29.4,0.94,0.96,1.01,0,0.9,10
29.1,0.92,0.94,0.98,0,0.9,10
28.8,0.92,0.94,0.98,0,0.9,10
28.3,0.91,0.94,0.98,0,0.9,10
28,0.91,0.93,0.97,0,0.9,10
27.8,0.91,0.93,0.98,0,0.9,10
27.5,0.91,0.93,0.98,0,0.9,10
27.2,0.92,0.95,0.99,0,0.9,10
27,0.92,0.95,0.99,0,0.9,10
26.8,0.93,0.96,1,0,0.9,10
26.4,0.93,0.96,1,0,0.9,10
26.2,0.94,0.96,1,0,0.9,10
26.1,0.94,0.96,1.01,0,0.9,10
26,0.94,0.98,1.01,0,0.9,10
26,0.95,0.98,1.01,0,0.9,10
26,0.96,0.98,1.02,0,0.9,10
26.1,0.96,0.98,1.02,0,0.9,10
26.2,0.96,0.99,1.03,0,0.9,10
26.2,0.96,0.99,1.03,0,0.9,10
26.3,0.97,0.99,1.03,0,0.9,10
26.4,0.97,0.99,1.03,0,0.9,10
26.5,0.97,0.99,1.03,0,0.9,10
26.5,0.96,0.99,1.03,0,0.9,10
26.6,0.97,0.99,1.04,0,0.9,10
26.5,0.97,0.99,1.04,0,0.9,10
26.5,0.97,0.99,1.04,0,0.9,10
26.5,0.97,0.99,1.04,0,0.9,10
26.5,0.97,1,1.05,0,0.9,10
26.4,0.97,1,1.05,0,0.9,10
26.4,0.97,1,1.04,0,0.9,10
26.4,0.97,1,1.04,0,0.9,10
26.3,0.97,1,1.04,0,0.9,10
26.3,0.97,0.99,1.04,0,0.9,10
26.2,0.97,0.99,1.04,0,0.9,10
26.1,0.97,0.99,1.04,0,0.9,10
26.1,0.98,1,1.04,0,0.9,10
26,0.98,1,1.04,0,0.9,10
26,0.98,1.01,1.05,0,0.9,10
26,0.98,1.01,1.05,0,0.9,10
25.9,0.98,1.01,1.05,0,0.9,10
25.9,0.99,1.01,1.06,0,0.9,10
25.9,0.98,1,1.05,0,0.9,10
25.9,0.98,1,1.05,0,0.9,10
25.8,0.96,0.99,1.04,0,0.9,10
25.7,0.96,0.99,1.04,0,0.9,10
25.6,0.96,0.98,1.03,0,0.9,10
25.5,0.96,0.98,1.03,0,0.9,10
25.3,0.96,0.98,1.03,0,0.9,10
25.2,0.96,0.98,1.03,0,0.9,10
25,0.96,0.98,1.02,0,0.9,10
24.9,0.96,0.99,1.02,0,0.9,10
25,0.97,0.99,1.02,0,0.9,10
25.1,0.97,0.99,1.02,0,0.9,10
25.4,0.98,1,1.03,0,0.9,10
25.9,0.98,1,1.03,0,0.9,10
26.3,0.98,1,1.03,0,0.9,10
27.1,0.98,1,1.03,0,0.9,10
27.7,0.98,1,1.03,0,0.9,10
28.1,0.98,1,1.04,0,0.9,10
28.6,0.98,1,1.04,0,0.9,10
29,0.98,1,1.04,0,0.9,10
29.3,0.99,1.01,1.04,0,0.9,10
29.5,0.99,1.01,1.04,0,0.9,10
29.4,0.99,1.01,1.05,0,0.9,10
29.3,0.99,1.01,1.05,0,0.9,10
29,1,1.02,1.05,0,0.9,10
28.7,1,1.02,1.05,0,0.9,10
28.5,1,1.02,1.05,0,0.9,10
28.2,1,1.02,1.05,0,0.9,10
28,1,1.02,1.05,0,0.9,10
27.6,1,1.02,1.05,0,0.9,10
27.3,1,1.03,1.06,0,0.9,10
27,1,1.03,1.06,0,0.9,10
26.7,1.01,1.03,1.07,0,0.9,10
26.4,1.01,1.03,1.07,0,0.9,10
26.1,1.01,1.03,1.07,0,0.9,10
25.7,1.01,1.03,1.07,0,0.9,10
25.4,1.01,1.03,1.07,0,0.9,10
25.1,1.01,1.03,1.07,0,0.9,10
24.8,1.01,1.03,1.06,0,0.9,10
24.4,1.01,1.03,1.06,0,0.9,10
24.1,1.01,1.03,1.07,0,0.9,10
23.7,1.01,1.03,1.07,0,0.9,10
23.3,1.01,1.03,1.07,0,0.9,10
23,1.01,1.03,1.06,0,0.9,10
22.8,1.01,1.03,1.06,0,0.9,10
22.5,1.01,1.03,1.06,0,0.9,10
22.3,1.02,1.03,1.06,0,0.9,10
22.2,1.02,1.03,1.06,0,0.9,10
22.1,1.02,1.04,1.06,0,0.9,10
22,1.02,1.04,1.06,0,0.9,10
21.9,1.02,1.03,1.06,0,0.9,10
21.9,1.02,1.03,1.06,0,0.9,10
21.9,1.02,1.03,1.06,0,0.9,10
21.9,1.02,1.04,1.06,0,0.9,10
21.8,1.02,1.04,1.07,0,0.9,10
21.7,1.02,1.04,1.07,0,0.9,10
21.7,1.02,1.04,1.07,0,0.9,10
21.6,1.02,1.04,1.07,0,0.9,10
21.6,1.02,1.03,1.06,0,0.9,10
21.4,1.02,1.03,1.06,0,0.9,10
21.4,1.02,1.03,1.06,0,0.9,10
21.3,1.02,1.03,1.06,0,0.9,10
21.1,1.02,1.03,1.06,0,0.9,10
21.1,1.02,1.04,1.06,0,0.9,10
21,1.02,1.04,1.06,0,0.9,10
21,1.02,1.04,1.06,0,0.9,10
21,1.02,1.04,1.06,0,0.9,10
20.9,1.02,1.04,1.06,0,0.9,10
20.9,1.02,1.04,1.06,0,0.9,10
20.9,1.02,1.04,1.06,0,0.9,10
21,1.02,1.04,1.06,0,0.9,10
21,1.02,1.04,1.06,0,0.9,10
21.1,1.02,1.04,1.06,0,0.9,10
21.1,1.02,1.03,1.05,0,0.9,10
21.2,1.02,1.04,1.06,0,0.9,10
21.3,1.02,1.04,1.06,0,0.9,10
21.3,1.02,1.03,1.06,0,0.9,10
21.3,1.02,1.03,1.06,0,0.9,10
21.3,1.02,1.03,1.05,0,0.9,10
21.2,1.02,1.03,1.05,0,0.9,10
21.2,1.02,1.03,1.05,0,0.9,10
21.1,1.01,1.03,1.05,0,0.9,10
21,1.01,1.02,1.04,0,0.9,10
20.9,1.01,1.02,1.04,0,0.9,10
20.9,1,1.01,1.03,0,0.9,10
20.9,1,1.01,1.03,0,0.9,10
20.8,0.99,1,1.02,0,0.9,10
20.7,0.99,1,1.02,0,0.9,10
